iter,best_fitness
0,2.510748238326199
1,0.3916141918795899
2,0.3916141918795899
3,0.22958641632276983
4,0.22958641632276983
5,0.04564051419606797
6,0.016226829786532275
7,0.00831296372890877
8,0.00831296372890877
9,0.00831296372890877
10,0.00831296372890877
11,0.00831296372890877
12,0.00831296372890877
13,0.00831296372890877
14,0.00831296372890877
15,0.00831296372890877
16,0.001978334173135223
17,0.0016012648746588113
18,0.0016012648746588113
19,0.0016012648746588113
20,0.0016012648746588113
21,0.0016012648746588113
22,0.0016012648746588113
23,3.645312134525247e-05
24,3.645312134525247e-05
25,3.645312134525247e-05
26,3.645312134525247e-05
27,3.645312134525247e-05
28,3.645312134525247e-05
29,3.645312134525247e-05
30,3.645312134525247e-05
31,3.645312134525247e-05
32,3.645312134525247e-05
33,3.645312134525247e-05
34,3.645312134525247e-05
35,3.645312134525247e-05
36,3.645312134525247e-05
37,9.253296485472687e-06
38,9.253296485472687e-06
39,9.253296485472687e-06
40,9.253296485472687e-06
41,9.253296485472687e-06
42,9.253296485472687e-06
43,9.253296485472687e-06
44,9.253296485472687e-06
45,9.253296485472687e-06
46,9.253296485472687e-06
47,6.873580596479844e-06
48,6.873580596479844e-06
49,6.873580596479844e-06
50,6.067412662821465e-06
51,6.067412662821465e-06
52,6.067412662821465e-06
53,6.067412662821465e-06
54,6.067412662821465e-06
55,6.067412662821465e-06
56,6.067412662821465e-06
57,6.067412662821465e-06
58,6.067412662821465e-06
59,5.8021142137462535e-06
60,5.8021142137462535e-06
61,5.776150480270604e-06
62,5.776150480270604e-06
63,5.776150480270604e-06
64,5.776150480270604e-06
65,5.703328020027377e-06
66,5.703328020027377e-06
67,5.703328020027377e-06
68,5.703328020027377e-06
69,3.927978551869198e-06
70,2.7922875342380415e-06
71,1.4740238604431887e-06
72,1.019551812741991e-06
73,1.9674999330291922e-07
74,9.315908351922122e-08
75,9.315908351922122e-08
76,6.081377399722816e-08
77,6.081377399722816e-08
78,6.081377399722816e-08
79,6.081377399722816e-08
80,6.081377399722816e-08
81,6.081377399722816e-08
82,6.081377399722816e-08
83,6.081377399722816e-08
84,6.081377399722816e-08
85,6.081377399722816e-08
86,6.081377399722816e-08
87,6.081377399722816e-08
88,6.081377399722816e-08
89,6.081377399722816e-08
90,6.081377399722816e-08
91,6.081377399722816e-08
92,6.081377399722816e-08
93,6.081377399722816e-08
94,6.038750418882475e-08
95,6.038750418882475e-08
96,6.038750418882475e-08
97,3.43004888909854e-08
98,3.43004888909854e-08
99,3.43004888909854e-08
100,3.43004888909854e-08
101,3.43004888909854e-08
102,3.43004888909854e-08
103,3.43004888909854e-08
104,3.43004888909854e-08
105,3.43004888909854e-08
106,3.43004888909854e-08
107,3.43004888909854e-08
108,2.510962578316831e-08
109,2.510962578316831e-08
110,1.3865325415922548e-08
111,1.3585340667782931e-08
112,1.3585340667782931e-08
113,1.3585340667782931e-08
114,1.6484834503330834e-09
115,1.6484834503330834e-09
116,1.6484834503330834e-09
117,1.6484834503330834e-09
118,1.6484834503330834e-09
119,1.382759358207261e-09
120,1.2298515943764924e-09
121,1.2298515943764924e-09
122,5.875552581443742e-10
123,5.875552581443742e-10
124,2.939955029058697e-10
125,2.939955029058697e-10
126,2.939955029058697e-10
127,2.939955029058697e-10
128,2.939955029058697e-10
129,1.9004891618363255e-10
130,1.9004891618363255e-10
131,1.9004891618363255e-10
132,1.9004891618363255e-10
133,8.367454971220127e-11
134,8.367454971220127e-11
135,8.367454971220127e-11
136,8.367454971220127e-11
137,8.367454971220127e-11
138,8.367454971220127e-11
139,2.5823576247983858e-12
140,2.5823576247983858e-12
141,2.5823576247983858e-12
142,2.5823576247983858e-12
143,2.5823576247983858e-12
144,2.5823576247983858e-12
145,2.5823576247983858e-12
146,2.5823576247983858e-12
147,2.5823576247983858e-12
148,2.5823576247983858e-12
149,2.5823576247983858e-12
150,2.5823576247983858e-12
151,2.5823576247983858e-12
152,2.5823576247983858e-12
153,2.5823576247983858e-12
154,2.5823576247983858e-12
155,2.5823576247983858e-12
156,2.5823576247983858e-12
157,2.5823576247983858e-12
158,2.5823576247983858e-12
159,2.5823576247983858e-12
160,2.5823576247983858e-12
161,2.5823576247983858e-12
162,2.5823576247983858e-12
163,2.5823576247983858e-12
