iter,best_fitness
0,4.995815286189334
1,3.7164639308012966
2,1.7761527056050426
3,0.5502222726993047
4,0.03771978267683096
5,0.03771978267683096
6,0.03771978267683096
7,0.03771978267683096
8,0.003398922270484661
9,0.003398922270484661
10,0.0009372695627405392
11,0.0009372695627405392
12,0.0005632889462923174
13,0.0005632889462923174
14,0.0005632889462923174
15,0.000300076108491254
16,0.000300076108491254
17,0.00020798629969931426
18,0.00010370815915194953
19,9.43540835791623e-05
20,7.858405020755299e-05
21,7.771124267108576e-05
22,4.808774589548648e-05
23,1.228258562235851e-05
24,4.552925268797026e-06
25,1.626384431574479e-06
26,7.119277647404942e-07
27,7.119277647404942e-07
28,4.6844252210576087e-07
29,9.653798827002902e-08
30,1.0785040416294578e-08
31,1.0785040416294578e-08
32,1.0785040416294578e-08
33,5.9956093423352286e-09
34,1.6028991467464948e-09
35,4.988649493498087e-10
36,4.988649493498087e-10
37,4.988649493498087e-10
38,4.988649493498087e-10
39,1.6060752727753425e-10
40,1.6060752727753425e-10
41,1.0271961059515888e-10
42,6.359357485052897e-12
43,6.359357485052897e-12
44,6.359357485052897e-12
45,5.8903992794512305e-12
46,5.091038701721118e-12
47,1.6697754290362354e-12
48,4.973799150320701e-13
49,4.973799150320701e-13
50,4.973799150320701e-13
51,2.4158453015843406e-13
52,1.4210854715202004e-14
53,7.105427357601002e-15
54,7.105427357601002e-15
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
