iter,best_fitness
0,0.3310451110997495
1,0.19277407733317775
2,0.003571062899670242
3,0.003571062899670242
4,0.003571062899670242
5,0.003571062899670242
6,0.003571062899670242
7,0.003571062899670242
8,0.003571062899670242
9,0.003571062899670242
10,0.003571062899670242
11,0.003571062899670242
12,0.0002803806939800986
13,0.0002803806939800986
14,0.0002803806939800986
15,0.0002803806939800986
16,5.1929093904334555e-05
17,5.1929093904334555e-05
18,5.1929093904334555e-05
19,5.1929093904334555e-05
20,5.1929093904334555e-05
21,5.1929093904334555e-05
22,1.5452043656608184e-07
23,1.5452043656608184e-07
24,1.5452043656608184e-07
25,1.5452043656608184e-07
26,1.5452043656608184e-07
27,1.5452043656608184e-07
28,1.5452043656608184e-07
29,1.5452043656608184e-07
30,1.5452043656608184e-07
31,1.5452043656608184e-07
32,1.5452043656608184e-07
33,1.5452043656608184e-07
34,5.31553180769272e-08
35,5.31553180769272e-08
36,5.31553180769272e-08
37,5.31553180769272e-08
38,5.31553180769272e-08
39,4.6165965303227475e-08
40,4.6165965303227475e-08
41,4.6165965303227475e-08
42,4.6165965303227475e-08
43,1.5914682243552495e-09
44,1.5914682243552495e-09
45,1.5914682243552495e-09
46,1.5914682243552495e-09
47,1.5914682243552495e-09
48,1.5914682243552495e-09
49,1.5914682243552495e-09
50,1.5914682243552495e-09
51,1.5914682243552495e-09
52,1.5914682243552495e-09
53,1.5914682243552495e-09
54,1.5914682243552495e-09
55,4.276178067136322e-10
56,4.276178067136322e-10
57,2.937228960208913e-11
58,2.937228960208913e-11
59,2.937228960208913e-11
60,2.937228960208913e-11
61,2.937228960208913e-11
62,2.937228960208913e-11
63,2.937228960208913e-11
64,1.4034343878561481e-11
65,1.4034343878561481e-11
66,1.4034343878561481e-11
67,1.4034343878561481e-11
68,1.4034343878561481e-11
69,1.4034343878561481e-11
70,1.4034343878561481e-11
71,1.4034343878561481e-11
72,1.4034343878561481e-11
73,3.448208803527828e-12
74,3.448208803527828e-12
75,3.448208803527828e-12
76,3.448208803527828e-12
77,3.448208803527828e-12
78,8.184604920344309e-13
79,8.184604920344309e-13
80,8.184604920344309e-13
81,8.184604920344309e-13
82,2.0281545517660965e-13
83,2.0281545517660965e-13
84,2.0281545517660965e-13
85,2.0281545517660965e-13
86,2.0281545517660965e-13
87,1.8752351681661274e-13
