iter,best_fitness
0,2.510748238326199
1,0.10287497419201364
2,0.10287497419201364
3,0.10287497419201364
4,0.10287497419201364
5,0.10287497419201364
6,0.04654455992486701
7,0.04654455992486701
8,0.022070962606894833
9,0.022070962606894833
10,0.0003136078492676164
11,0.0003136078492676164
12,0.0003136078492676164
13,0.0003136078492676164
14,0.0003136078492676164
15,0.0003136078492676164
16,1.1650380843343104e-05
17,1.1650380843343104e-05
18,1.1650380843343104e-05
19,1.1650380843343104e-05
20,1.1650380843343104e-05
21,1.1650380843343104e-05
22,1.1650380843343104e-05
23,8.576036457879205e-06
24,8.576036457879205e-06
25,8.576036457879205e-06
26,8.576036457879205e-06
27,8.576036457879205e-06
28,2.738573495387046e-06
29,2.738573495387046e-06
30,1.0362379114220133e-06
31,1.0362379114220133e-06
32,2.9576568292927155e-07
33,2.9576568292927155e-07
34,2.9576568292927155e-07
35,2.9576568292927155e-07
36,2.9576568292927155e-07
37,2.9576568292927155e-07
38,5.845260638900824e-08
39,5.845260638900824e-08
40,5.845260638900824e-08
41,5.845260638900824e-08
42,5.845260638900824e-08
43,5.845260638900824e-08
44,5.845260638900824e-08
45,1.4935258852393988e-08
46,1.4935258852393988e-08
47,1.4935258852393988e-08
48,1.4935258852393988e-08
49,1.4935258852393988e-08
50,1.4935258852393988e-08
51,1.4935258852393988e-08
52,1.8948176953325957e-09
53,1.8948176953325957e-09
54,1.8948176953325957e-09
55,1.8948176953325957e-09
56,9.288220024816272e-10
57,9.288220024816272e-10
58,9.288220024816272e-10
59,8.627376578039696e-10
60,8.627376578039696e-10
61,8.627376578039696e-10
62,8.627376578039696e-10
63,8.627376578039696e-10
64,8.627376578039696e-10
65,8.627376578039696e-10
66,8.627376578039696e-10
67,8.627376578039696e-10
68,2.372032810642679e-10
69,2.372032810642679e-10
70,2.372032810642679e-10
71,2.372032810642679e-10
72,2.372032810642679e-10
73,2.372032810642679e-10
74,9.164849036411205e-11
75,1.0756697265491752e-12
76,1.0756697265491752e-12
77,1.0756697265491752e-12
78,1.0756697265491752e-12
79,1.0756697265491752e-12
80,1.0756697265491752e-12
81,1.0756697265491752e-12
82,1.0756697265491752e-12
83,1.0756697265491752e-12
84,2.1130616401497414e-13
85,5.6534964046368565e-14
86,5.6534964046368565e-14
87,5.6534964046368565e-14
88,5.6534964046368565e-14
89,5.6534964046368565e-14
90,9.532104181073938e-15
91,9.532104181073938e-15
92,9.532104181073938e-15
93,9.532104181073938e-15
94,9.532104181073938e-15
95,9.532104181073938e-15
96,9.532104181073938e-15
97,9.532104181073938e-15
98,9.532104181073938e-15
99,1.2782731795738514e-16
100,1.2782731795738514e-16
101,1.2782731795738514e-16
102,1.2782731795738514e-16
103,1.2782731795738514e-16
104,1.2782731795738514e-16
