iter,best_fitness
0,4.995815286189334
1,1.1065012677441501
2,0.3913717275682913
3,0.24641855880103947
4,0.24641855880103947
5,0.24641855880103947
6,0.24641855880103947
7,0.24641855880103947
8,0.24641855880103947
9,0.24641855880103947
10,0.24641855880103947
11,0.24641855880103947
12,0.20657212316159956
13,0.20657212316159956
14,0.20657212316159956
15,0.1606042605670801
16,0.1606042605670801
17,0.1606042605670801
18,0.12320284305031848
19,0.007139904241824979
20,0.007139904241824979
21,0.007139904241824979
22,0.0024556404858415704
23,0.0024556404858415704
24,0.0024556404858415704
25,0.0024556404858415704
26,0.0024556404858415704
27,0.0021797157663883127
28,0.0021797157663883127
29,0.00032629701692599156
30,0.00032629701692599156
31,0.00032629701692599156
32,0.00018982600039763042
33,0.00018982600039763042
34,0.00018982600039763042
35,7.823792273597974e-06
36,7.823792273597974e-06
37,7.823792273597974e-06
38,7.823792273597974e-06
39,7.823792273597974e-06
40,7.823792273597974e-06
41,7.823792273597974e-06
42,7.823792273597974e-06
43,7.823792273597974e-06
44,4.442687362882225e-06
45,4.442687362882225e-06
46,4.442687362882225e-06
47,4.442687362882225e-06
48,4.442687362882225e-06
49,4.442687362882225e-06
50,4.442687362882225e-06
51,4.442687362882225e-06
52,1.5704493776524941e-06
53,9.269892231600352e-08
54,9.269892231600352e-08
55,9.269892231600352e-08
56,2.30516405963499e-09
57,2.30516405963499e-09
58,2.30516405963499e-09
59,2.30516405963499e-09
60,2.30516405963499e-09
61,2.30516405963499e-09
62,2.30516405963499e-09
63,2.30516405963499e-09
64,2.30516405963499e-09
65,2.30516405963499e-09
66,2.30516405963499e-09
67,2.30516405963499e-09
68,2.30516405963499e-09
69,1.882305866729439e-09
70,1.882305866729439e-09
71,1.882305866729439e-09
72,8.835314702082542e-10
73,8.835314702082542e-10
74,8.835314702082542e-10
75,8.835314702082542e-10
76,8.835314702082542e-10
77,8.835314702082542e-10
78,8.835314702082542e-10
79,8.835314702082542e-10
80,8.835314702082542e-10
81,8.835314702082542e-10
82,8.835314702082542e-10
83,4.076490256466059e-10
84,4.076490256466059e-10
85,5.871214625585708e-11
86,5.871214625585708e-11
87,5.871214625585708e-11
88,5.871214625585708e-11
89,2.2520652009916375e-11
90,2.2520652009916375e-11
91,2.2520652009916375e-11
92,1.815436689867056e-11
93,1.815436689867056e-11
94,2.9771740628348198e-12
95,2.9771740628348198e-12
96,2.9771740628348198e-12
97,7.105427357601002e-14
98,7.105427357601002e-14
99,7.105427357601002e-14
100,7.105427357601002e-14
101,7.105427357601002e-14
102,7.105427357601002e-14
103,7.105427357601002e-14
104,6.394884621840902e-14
105,6.394884621840902e-14
106,6.394884621840902e-14
107,2.1316282072803006e-14
108,2.1316282072803006e-14
109,2.1316282072803006e-14
110,2.1316282072803006e-14
111,2.1316282072803006e-14
112,2.1316282072803006e-14
113,2.1316282072803006e-14
114,2.1316282072803006e-14
115,2.1316282072803006e-14
116,2.1316282072803006e-14
117,2.1316282072803006e-14
118,2.1316282072803006e-14
119,2.1316282072803006e-14
120,2.1316282072803006e-14
121,2.1316282072803006e-14
122,2.1316282072803006e-14
123,2.1316282072803006e-14
124,7.105427357601002e-15
125,7.105427357601002e-15
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
