iter,best_fitness
0,39.07725538966774
1,14.77205925325684
2,2.7058078075677288
3,2.7058078075677288
4,2.448120074835478
5,1.6682880121365016
6,1.6682880121365016
7,1.1902290025460625
8,1.0463063799587846
9,1.0463063799587846
10,0.41174826695414235
11,0.41174826695414235
12,0.41174826695414235
13,0.25060336735935745
14,0.15178778066678783
15,0.12337323009982434
16,0.12337323009982434
17,0.12337323009982434
18,0.12337323009982434
19,0.07447773537249656
20,0.026806584054480366
21,0.026806584054480366
22,0.026806584054480366
23,0.02615117940465214
24,0.019887051145451553
25,0.0174275133979879
26,0.016891048712582436
27,0.016891048712582436
28,0.015800980867899606
29,0.015800980867899606
30,0.010225604486156968
31,0.0047221183207736125
32,0.0047221183207736125
33,0.0047221183207736125
34,0.0047221183207736125
35,0.004446974448345778
36,0.0024269286298383855
37,0.0020557507213947324
38,0.0020557507213947324
39,0.0020557507213947324
40,0.0012783102249121104
41,0.0012783102249121104
42,0.0012783102249121104
43,0.0012783102249121104
44,0.0011848944049664858
45,0.000876674326948269
46,0.0007332070763953059
47,0.0005073376683310404
48,0.0005073376683310404
49,0.0005073376683310404
50,0.0005073376683310404
51,0.00033705982022314186
52,0.00033705982022314186
53,0.00033705982022314186
54,0.0002471754760084644
55,0.0001790353838720069
56,0.0001790353838720069
57,0.00011246561926159105
58,7.739071987446862e-05
59,7.739071987446862e-05
60,5.502975678311196e-05
61,5.502975678311196e-05
62,3.769554509719112e-05
63,2.6169722568274294e-05
64,2.146108611439925e-05
65,2.146108611439925e-05
66,1.237257799634417e-05
67,9.812751930157848e-06
68,9.812751930157848e-06
69,8.884382657516594e-06
70,8.884382657516594e-06
71,8.884382657516594e-06
72,7.968793216636464e-06
73,6.84542846661442e-06
74,6.84542846661442e-06
75,6.84542846661442e-06
76,6.84542846661442e-06
77,4.73130748660052e-06
78,2.7371336494189213e-06
79,2.7371336494189213e-06
80,2.7371336494189213e-06
81,1.8316754665757994e-06
82,1.6850523508028673e-06
83,1.6746473777196003e-06
84,1.6746473777196003e-06
85,9.92543474936289e-07
86,9.92543474936289e-07
87,6.272677853950547e-07
88,4.978382236456013e-07
89,4.978382236456013e-07
90,4.978382236456013e-07
91,3.559146738303275e-07
92,3.559146738303275e-07
93,3.559146738303275e-07
94,3.559146738303275e-07
95,2.3651309306059146e-07
96,1.3519456808635375e-07
97,1.3519456808635375e-07
98,1.125925065464621e-07
99,1.125925065464621e-07
100,1.1136913893548519e-07
101,8.395138458828409e-08
102,8.395138458828409e-08
103,8.395138458828409e-08
104,7.882454482491737e-08
105,7.882454482491737e-08
106,7.50167419439621e-08
107,2.2364736201165104e-08
108,1.6838790987872148e-08
109,1.6838790987872148e-08
110,1.6838790987872148e-08
111,1.6838790987872148e-08
112,1.6838790987872148e-08
113,1.6838790987872148e-08
114,1.2560840174838634e-08
115,1.0023877899658494e-08
116,1.0023877899658494e-08
117,1.0023877899658494e-08
118,6.88170811471381e-09
119,6.88170811471381e-09
120,5.816244233186728e-09
121,5.816244233186728e-09
122,4.347957944566806e-09
123,4.347957944566806e-09
124,3.737758794395182e-09
125,3.3742753232461403e-09
126,1.544524589904008e-09
127,1.544524589904008e-09
128,1.544524589904008e-09
129,1.544524589904008e-09
130,1.0931122429060377e-09
131,4.881965111990985e-10
132,4.881965111990985e-10
133,4.881965111990985e-10
134,4.881965111990985e-10
135,3.477700478471858e-10
136,1.6436264440294365e-10
137,1.6436264440294365e-10
138,1.6436264440294365e-10
139,1.6436264440294365e-10
140,1.358516923443952e-10
141,1.0844647952955483e-10
142,8.363029807523707e-11
143,8.208872009317474e-11
144,6.359208398386898e-11
145,6.359208398386898e-11
146,5.864150153311757e-11
147,5.062685404268096e-11
148,1.9802877244713735e-11
149,1.9802877244713735e-11
150,1.9802877244713735e-11
151,1.9802877244713735e-11
152,1.9802877244713735e-11
153,1.9802877244713735e-11
154,1.6141632096678185e-11
155,1.4453856139355897e-11
156,1.1622308772869535e-11
157,1.1092139834717271e-11
158,1.1092139834717271e-11
159,8.162433585183727e-12
160,8.162433585183727e-12
161,7.271617227143378e-12
162,4.785753385837905e-12
163,4.785753385837905e-12
164,4.785753385837905e-12
165,4.407866262802762e-12
166,2.6286646217270172e-12
167,2.5404400938527904e-12
168,2.5404400938527904e-12
169,1.385443092565206e-12
170,1.331589601972128e-12
171,9.99467776162641e-13
172,9.99467776162641e-13
173,9.99467776162641e-13
174,8.731188759809027e-13
175,6.466262323694267e-13
176,5.807905189788967e-13
177,3.94242051119175e-13
178,3.94242051119175e-13
179,3.94242051119175e-13
180,3.94242051119175e-13
181,3.8511309708726223e-13
182,1.5186547751644147e-13
183,1.5186547751644147e-13
184,1.2954447380778904e-13
185,1.2954447380778904e-13
186,1.2954447380778904e-13
